FIPS,UNEMP,INCOME,POP,
18095,7.9,"54,145","498,700",
18097,7.9,"50,707","112,417",
18099,6.4,"53,695","45,011",
18101,4.2,"56,735","130,129",
18103,8.2,"53,658","977,203",
18105,5.5,"53,113","46,095",
18107,5.2,"54,366","9,812",
18109,5.4,"63,414","35,962",
18111,6.9,"61,457","139,718",
18113,8.4,"60,980","37,936",
18115,7.4,"58,294","71,780",
18117,11.1,"47,931","13,830",
18119,6.3,"53,387","47,457",
18121,5.5,"51,554","5,940",
18123,6.5,"53,908","19,867",
18125,5.9,"52,378","21,321",
18127,8.1,"74,064","16,156",
18129,4.9,"68,435","19,170",
18131,6.1,"52,432","12,250",
18133,6.2,"64,098","173,215",
18135,6.6,"50,496","25,222",
18137,6.4,"61,219","12,514",
18139,6.3,"54,371","36,726",
18141,8.4,"53,881","24,502",
18143,8.4,"50,571","28,995",
18145,7.1,"59,798","16,752",
18147,5.6,"59,183","272,912",
18149,8.0,"54,001","24,384",
18151,6.2,"59,444","45,055",
18153,7.0,"53,375","19,810",
18155,8.1,"52,482","23,371",
18157,6.3,"51,228","34,435",
18159,6.1,"69,960","20,817",
18161,5.5,"53,866","9,737",
18163,7.2,"51,603","186,251",
18165,7.5,"50,723","15,359",
18167,7.9,"48,082","7,087",
18169,6.1,"59,874","180,136",
18171,5.4,"64,109","15,439",
18173,5.4,"79,644","106,153",
18175,6.9,"51,948","30,976",
18177,6.8,"47,885","8,440",
18179,5.7,"61,636","63,898",
18181,5.0,"58,295","28,182",
18183,5.9,"67,347","66,553",
19000,5.3,"61,807","28,180",
19001,4.0,"57,977","24,688",
19003,3.8,"53,385","34,191",
19005,5.1,"56,240","3,190,369",
19007,5.3,"41,672","7,496",
19009,3.4,"53,197","3,704",
19011,5.0,"70,023","14,061",
19013,6.2,"60,010","12,317",
